216,216,5m_R,6.36988937,-38.34439634,62.87638288,R,5m,216
217,217,5mv_R,12.56913828,-37.53306613,51.85170341,R,5mv,217
218,218,6ma_R,19.98682663,7.040696307,66.14208422,R,6ma,218
219,219,6mp_R,17.63349436,-11.03381643,68.30434783,R,6mp,219
220,220,SCEF_R,5.623553842,6.100563631,58.14239098,R,SCEF,220
221,221,55b_R,49.50878334,2.468445023,46.79570592,R,55b,221
222,222,6a_R,25.91311301,-0.463486141,53.03144989,R,6a,222
223,223,6d_R,36.17875559,-11.38191818,64.65383293,R,6d,223
224,224,6r_R,52.76161768,10.35820146,12.34790254,R,6r,224
225,225,6v_R,59.39705882,6.951112878,29.81875994,R,6v,225
226,226,FEF_R,44.15140286,-2.206458444,51.50608788,R,FEF,226
227,227,PEF_R,47.48569157,2.883942766,36.88394277,R,PEF,227
228,228,43_R,54.53098927,0.074493445,8.982717521,R,43,228
229,229,FOP1_R,46.21995708,4.994635193,4.527896996,R,FOP1,229
230,230,OP1_R,42.84328358,-19.0261194,18.13339552,R,OP1,230
231,231,OP2-3_R,38.92424242,-12.65277778,18.0290404,R,OP2-3,231
232,232,OP4_R,57.30012453,-10.51888751,13.31880448,R,OP4,232
233,233,52_R,38.85862069,-19.37931034,1.370689655,R,52,233
234,234,A1_R,43.04020101,-22.24623116,11.29396985,R,A1,234
235,235,LBelt_R,47.86237514,-25.7236404,11.3618202,R,LBelt,235
236,236,MBelt_R,45.60275081,-15.51375405,5.268608414,R,MBelt,236
237,237,PBelt_R,57.01042391,-19.44683808,9.099374566,R,PBelt,237
238,238,PFcm_R,48.43838384,-27.92996633,22.79124579,R,PFcm,238
239,239,RI_R,43.06071964,-30.85232384,19.92428786,R,RI,239
240,240,A4_R,65.14459834,-16.63739612,6.641274238,R,A4,240
241,241,A5_R,62.0546251,-16.13656274,-2.102293223,R,A5,241
242,242,STGa_R,50.79332419,14.25560128,-18.12665752,R,STGa,242
243,243,STSda_R,51.89870239,-3.39012139,-14.72540812,R,STSda,243
244,244,STSdp_R,49.17619962,-29.3915547,-0.775047985,R,STSdp,244
245,245,STSva_R,54.77368421,-10.77105263,-15.70789474,R,STSva,245
246,246,STSvp_R,59.50178926,-31.47753479,-2.932007952,R,STSvp,246
247,247,TA2_R,51.75202781,3.001738123,-5.788528389,R,TA2,247
248,248,AAIC_R,33.93613247,15.40390302,-13.42696629,R,AAIC,248
249,249,AVI_R,32.85881696,26.10881696,-4.264508929,R,AVI,249
250,250,FOP2_R,40.59722222,-0.819444444,14.54166667,R,FOP2,250
251,251,FOP3_R,34.81596091,7.786644951,10.99185668,R,FOP3,251
252,252,FOP4_R,38.72884386,16.05840286,6.448152563,R,FOP4,252
253,253,FOP5_R,38.32454212,27.47912088,4.148717949,R,FOP5,253
254,254,Ig_R,37.14113278,-11.77065924,12.75858867,R,Ig,254
255,255,MI_R,38.21020408,12.95204082,0.22755102,R,MI,255
256,256,PI_R,44.44706994,-2.377126654,-13.536862,R,PI,256
257,257,Pir_R,29.97359914,5.08674569,-18.60614224,R,Pir,257
258,258,PoI1_R,38.88228883,-7.973841962,-6.527520436,R,PoI1,258
259,259,PoI2_R,40.83514019,-0.892336449,-1.698317757,R,PoI2,259
260,260,Hipp_R,26.69911748,-21.03723111,-16.77744071,R,Hipp,260
261,261,PreS_R,17.12708601,-33.09499358,-11.9139923,R,PreS,261
262,262,EC_R,21.78720379,-11.77156398,-30.31327014,R,EC,262
263,263,PeEc_R,29.26729758,-6.514826498,-34.54153523,R,PeEc,263
264,264,TF_R,41.64457071,-19.62079125,-30.53409091,R,TF,264
265,265,PHA1_R,23.45804795,-35.17979452,-15.49914384,R,PHA1,265
266,266,PHA2_R,31.64332036,-34.15564202,-12.37094682,R,PHA2,266
267,267,PHA3_R,32.57486631,-37.13636364,-15.53921569,R,PHA3,267
268,268,PHT_R,59.96422287,-54.38944282,-3.801759531,R,PHT,268
269,269,TE1a_R,61.04880383,-3.469138756,-23.47440191,R,TE1a,269
270,270,TE1m_R,64.92009332,-24.60367454,-15.51881015,R,TE1m,270
271,271,TE1p_R,61.73527454,-44.67271215,-12.22595674,R,TE1p,271
272,272,TE2a_R,56.07926299,-19.94055276,-28.90578828,R,TE2a,272
273,273,TE2p_R,47.80986842,-39.6125,-20.74736842,R,TE2p,273
274,274,TGd_R,38.25017042,14.3858214,-35.09815951,R,TGd,274
275,275,TGv_R,35.55481728,0.112513843,-45.59889258,R,TGv,275
276,276,PSL_R,64.16165277,-37.0065241,27.24864081,R,PSL,276
277,277,STV_R,58.5396687,-45.06277245,20.98299913,R,STV,277
278,278,TPOJ1_R,54.57516506,-45.24657186,13.09040122,R,TPOJ1,278
279,279,TPOJ2_R,52.56286267,-56.42698259,9.250483559,R,TPOJ2,279
280,280,TPOJ3_R,45.19498825,-61.38371182,18.08927173,R,TPOJ3,280
281,281,7AL_R,22.5044335,-50.6817734,68.65862069,R,7AL,281
282,282,7Am_R,8.226145439,-59.2803699,60.98781,R,7Am,282
283,283,7PC_R,36.00468521,-46.10541728,61.58594436,R,7PC,283
284,284,7PL_R,12.18048423,-71.49449743,59.04255319,R,7PL,284
285,285,7Pm_R,5.366207951,-66.02599388,50.48088685,R,7Pm,285
286,286,AIP_R,38.33044847,-37.98269079,44.16719119,R,AIP,286
287,287,LIPd_R,30.35212888,-54.69159954,45.95281933,R,LIPd,287
288,288,LIPv_R,28.21929333,-57.24845766,54.94279305,R,LIPv,288
289,289,MIP_R,25.84685809,-68.0178943,52.43612151,R,MIP,289
290,290,VIP_R,22.44388079,-61.59353202,64.37920101,R,VIP,290
291,291,IP0_R,33.9047619,-74.05811138,27.63438257,R,IP0,291
292,292,IP1_R,33.51654412,-67.27879902,41.01470588,R,IP1,292
293,293,IP2_R,42.36055884,-42.14078452,45.80118216,R,IP2,293
294,294,PF_R,60.35174253,-30.2681394,38.6922491,R,PF,294
295,295,PFm_R,51.29431274,-49.7443803,45.88957131,R,PFm,295
296,296,PFop_R,62.17779024,-19.66124509,23.0673023,R,PFop,296
297,297,PFt_R,56.18440412,-20.15497793,37.01324179,R,PFt,297
298,298,PGi_R,51.25955734,-59.8778672,29.47706237,R,PGi,298
299,299,PGp_R,44.98529412,-77.1644385,25.40748663,R,PGp,299
300,300,PGs_R,43.04575163,-69.90582294,42.93196673,R,PGs,300
301,301,23d_R,2.916060806,-21.03106411,38.8268341,R,23d,301
302,302,31a_R,5.246415771,-39.88709677,41.41577061,R,31a,302
303,303,31pd_R,10.61689815,-51.86921296,35.08333333,R,31pd,303
304,304,31pv_R,9.246575342,-43.97945205,33.4148728,R,31pv,304
305,305,7m_R,4.515239478,-62.12530237,33.9245283,R,7m,305
306,306,d23ab_R,3.149186257,-40.86889693,32.63924051,R,d23ab,306
307,307,DVT_R,18.98253676,-70.21783088,35.59375,R,DVT,307
308,308,PCV_R,5.95736755,-50.23799669,49.45405629,R,PCV,308
309,309,POS1_R,13.57315732,-56.36156949,16.17675101,R,POS1,309
310,310,POS2_R,10.87811187,-69.70417071,37.8457808,R,POS2,310
311,311,ProS_R,22.19052133,-50.72985782,3.51563981,R,ProS,311
312,312,RSC_R,5.649168569,-35.58819694,20.537985,R,RSC,312
313,313,v23ab_R,4.13865932,-55.22222222,18.06152433,R,v23ab,313
314,314,10r_R,7.15954416,52.57169991,-10.74738841,R,10r,314
315,315,10v_R,3.274840645,53.96737908,-16.77690289,R,10v,315
316,316,25_R,3.020140515,19.03934426,-11.92224824,R,25,316
317,317,33pr_R,4.29787234,14.49544073,25.65045593,R,33pr,317
318,318,8BM_R,4.884458673,32.32508731,45.43480792,R,8BM,318
319,319,9m_R,6.606699541,55.40622343,19.32188403,R,9m,319
320,320,a24_R,5.791356877,38.77137546,-2.383364312,R,a24,320
321,321,a24pr_R,3.980325645,19.49050204,32.20081411,R,a24pr,321
322,322,a32pr_R,9.604651163,28.58855098,30.20840787,R,a32pr,322
323,323,d32_R,7.379528222,39.93049705,25.63816344,R,d32,323
324,324,p24_R,4.877968878,37.00737101,15.17772318,R,p24,324
325,325,p24pr_R,3.224477958,-2.13863109,39.92401392,R,p24pr,325
326,326,p32_R,6.683286119,49.93541076,-4.754674221,R,p32,326
327,327,p32pr_R,9.538697318,15.23141762,38.14252874,R,p32pr,327
328,328,pOFC_R,14.46332863,12.45592384,-18.92101551,R,pOFC,328
329,329,s32_R,3.320197044,35.77438424,-15.66699507,R,s32,329
330,330,10d_R,9.349806202,67.97674419,4.495155039,R,10d,330
331,331,10pp_R,12.44672296,63.57177322,-16.91073583,R,10pp,331
332,332,11l_R,26.0060638,49.09912998,-16.32269971,R,11l,332
333,333,13l_R,20.56118384,30.58736483,-19.40295959,R,13l,333
334,334,47m_R,33.17541613,34.51728553,-13.51216389,R,47m,334
335,335,47s_R,32.38409091,24.13733766,-19.56558442,R,47s,335
336,336,a10p_R,24.67677346,62.19679634,-8.949084668,R,a10p,336
337,337,OFC_R,8.189984709,35.20661315,-24.88646789,R,OFC,337
338,338,p10p_R,24.197463,61.27019027,2.155179704,R,p10p,338
339,339,44_R,53.66434917,19.32329085,12.81035149,R,44,339
340,340,45_R,52.29338285,27.39837947,3.023295071,R,45,340
